Match_File,Date,Season,Opponent,Venue,Runs,Balls,Fours,Sixes,Dismissal
1473473.json,2025-04-19,2025,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",34,20,2,3,stumped
1473479.json,2025-04-24,2025,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",16,13,0,2,bowled
1473484.json,2025-04-28,2025,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",101,42,7,11,bowled
1473487.json,2025-05-01,2025,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",0,2,0,0,caught
1473490.json,2025-05-04,2025,Kolkata Knight Riders,"Eden Gardens, Kolkata",4,2,1,0,caught
1473497.json,2025-05-18,2025,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",40,16,4,4,caught
1473500.json,2025-05-20,2025,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",57,34,4,4,caught
1527676.json,2026-03-30,2026,Chennai Super Kings,"Barsapara Cricket Stadium, Guwahati",52,17,4,5,caught
1527682.json,2026-04-04,2026,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",31,20,5,1,caught
1527686.json,2026-04-07,2026,Mumbai Indians,"Barsapara Cricket Stadium, Guwahati",39,15,1,5,caught
1527689.json,2026-04-10,2026,Royal Challengers Bengaluru,"Barsapara Cricket Stadium, Guwahati",78,26,8,7,caught
1529264.json,2026-04-13,2026,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,1,0,0,caught
1529271.json,2026-04-19,2026,Kolkata Knight Riders,"Eden Gardens, Kolkata",46,30,6,2,caught
1529275.json,2026-04-22,2026,Lucknow Super Giants,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",8,11,2,0,caught
1529279.json,2026-04-25,2026,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",103,37,5,12,lbw
1529283.json,2026-04-28,2026,Punjab Kings,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",43,17,3,5,caught
1529286.json,2026-05-01,2026,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",4,2,1,0,bowled
1529295.json,2026-05-09,2026,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",36,17,3,3,caught
1529305.json,2026-05-17,2026,Delhi Capitals,"Arun Jaitley Stadium, Delhi",46,23,5,3,caught
1529307.json,2026-05-19,2026,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",93,41,7,10,caught
1529312.json,2026-05-24,2026,Mumbai Indians,"Wankhede Stadium, Mumbai",4,8,0,0,caught
1535463.json,2026-05-27,2026,Sunrisers Hyderabad,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",97,31,5,12,caught
1535464.json,2026-05-29,2026,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",96,48,8,7,caught
